glyph_name,ps_name,sort_final,USV
dottedcircle,uni25CC,544,25CC
SupplTopLftHalfBrac,uni2E22,545,2E22
SupplTopRtHalfBrac,uni2E23,546,2E23
SupplBottomLftHalfBrac,uni2E24,547,2E24
SupplBottomRtHalfBrac,uni2E25,548,2E25
LtnSmSaltillo,uniA78C,549,A78C
FontBslnSideBrngMrkrLft,uniF130,550,F130
FontBslnSideBrngMrkrRt,uniF131,551,F131
fi,uniFB01,552,FB01
fl,uniFB02,553,FB02
VS1,uniFE00,554,FE00
VS2,uniFE01,555,FE01
VS3,uniFE02,556,FE02
VS4,uniFE03,557,FE03
VS5,uniFE04,558,FE04
VS6,uniFE05,559,FE05
VS7,uniFE06,560,FE06
VS8,uniFE07,561,FE07
VS9,uniFE08,562,FE08
VS10,uniFE09,563,FE09
VS11,uniFE0A,564,FE0A
VS12,uniFE0B,565,FE0B
VS13,uniFE0C,566,FE0C
VS14,uniFE0D,567,FE0D
VS15,uniFE0E,568,FE0E
VS16,uniFE0F,569,FE0F
zwnbsp,uniFEFF,570,FEFF
ObjectReplChar,uniFFFC,571,FFFC
ReplChar,uniFFFD,572,FFFD
nuktanew,u1133B,573,1133B
nukta,u1133C,574,1133C
nukta.dotdbl,u1133C.dotdbl,575,
nukta.ringdbl,u1133C.ringdbl,576,
CombAcute,CombAcute,577,
CombAcute.LP,CombAcute.LP,578,
CombCedilla,CombCedilla,579,
CombCircum,CombCircum,580,
CombCircum.LP,CombCircum.LP,581,
CombDiaer,CombDiaer,582,
CombDiaer.LP,CombDiaer.LP,583,
CombGrave,CombGrave,584,
CombGrave.LP,CombGrave.LP,585,
CombRingAbv,CombRingAbv,586,
CombTilde,CombTilde,587,
CombTilde.LP,CombTilde.LP,588,
GrCapPi,GrCapPi,589,
LtnCapEsh,LtnCapEsh,590,
ModBeginHighTn,ModBeginHighTn,591,
ModBeginLowTn,ModBeginLowTn,592,
ModEndHighTn,ModEndHighTn,593,
ModEndLowTn,ModEndLowTn,594,
